id,occupancy_rate_reviews,occupancy_rate_calendar,is_review_recent_z_score,Predicted Discrepency,Calendar Weight,Review Weight,Occupancy Rate Final,Occupancy Confidence
2595,0.1405381641,0,1.2813141684,0.3199675482,0.6800324518,0.8593429158,0.0784542083,1.5393753676
3831,0.4748109344,0.7092351102,0.6163449692,0.3722889993,0.6277110007,1,0.5652143499,1.6277110007
5099,0.1445998915,0,2.3648459959,0.1625434283,0.8374565717,0.3175770021,0.0397578054,1.1550335738
5121,0.5785801011,0,0.8988911704,0.3199675482,0.6800324518,1,0.344386265,1.6800324518
5178,0.381385371,0.3897963853,1.7396303901,0.1384727122,0.8615272878,0.6301848049,0.3862430901,1.4917120927
5203,0.1719832463,0,28.598932238,0.1625434283,0.8374565717,0,0,0.8374565717
5238,0.1993666011,0.45039274,8.2615195072,0.2904142688,0.7095857312,0,0.45039274,0.7095857312
5441,0.2243337775,-0.6,0.1557289528,0.8352395563,0.1647604437,1,0.1926007865,1.1647604437
5803,0.2050043506,0,0.7043942505,0.3152013942,0.6847986058,1,0.1216788463,1.6847986058
6021,0.1727886391,0.6222222222,2.0073921971,0.330595583,0.669404417,0.4963039014,0.4308744921,1.1657083184
6090,3.2061084077,0.2,3.2358110883,0.1992532718,0.8007467282,0,0.2,0.8007467282
6848,0.2050043506,-0.2,2.2452566735,0.4988788656,0.5011211344,0.3773716632,0.0880631383,0.8784927976
7097,0.241247026,0.7333333333,1.3526078029,0.4356551866,0.5643448134,0.8236960986,0.4413177537,1.388040912
7726,0.4490383652,0,2.1535934292,0.3176391206,0.6823608794,0.4232032854,0.1718891743,1.1055641648
7750,,1,999,0.6698258303,0.3301741697,0,1,0.3301741697
7801,0.1027194666,1,6.8257905544,0.6892321517,0.3107678483,0,1,0.3107678483
8024,0.1905072804,-0.888888889,0.2286652977,1.1778317183,0,1,0.1905072804,1
8110,0.1478214627,0.6666666667,0.8693223819,0.3631200464,0.6368799536,1,0.3496946109,1.6368799536
8490,0.1663454968,0.9777777778,1.2714579055,0.6337266142,0.3662733858,0.8642710472,0.4078695254,1.230544433
8700,,0,999,0.1625434283,0.8374565717,0,0,0.8374565717
9657,0.1180219295,-1,0.7944147844,1.2687678809,0,1,0.1180219295,1
9668,0.2621872385,0,4.3104722793,0.3199675482,0.6800324518,0,0,0.6800324518
9704,0.2098367073,0.1333333333,4.3696098563,0.2013616809,0.7986383191,0,0.1333333333,0.7986383191
9783,0.2855436293,0,6.0734291581,0.3199675482,0.6800324518,0,0,0.6800324518
10452,0.1478214627,1,2.5458726899,0.7063074883,0.2936925117,0.227063655,0.6284273029,0.5207561667
10962,0.2098367073,0,4.2316221766,0.3167795569,0.6832204431,0,0,0.6832204431
11708,0.2646034169,-0.155555556,0.6833675565,0.4727768892,0.5272231108,1,0.1732578659,1.5272231108
11943,,0,999,0.3199675482,0.6800324518,0,0,0.6800324518
12048,0.2380254549,0.6726149623,5.2320328542,0.5095454836,0.4904545164,0,0.6726149623,0.4904545164
12192,0.2637980241,0,5.3726488706,0.3121567213,0.6878432787,0,0,0.6878432787
12343,0.1828212855,0.2,1.9150718686,0.1771805871,0.8228194129,0.5424640657,0.1931744319,1.3652834786
12627,0.2898853119,0,0.9974537988,0.332075898,0.667924102,1,0.1738000617,1.667924102
12937,0.2855436293,-0.2,0,0.5303922382,0.4696077618,1,0.1942992115,1.4696077618
12940,0.1519898428,0,0.9054620123,0.303462875,0.696537125,1,0.0895882799,1.696537125
13050,0.1051356449,0,0.7030800821,0.1625434283,0.8374565717,1,0.0572180298,1.8374565717
13394,0.1897018876,1,4.1560574949,0.6593840911,0.3406159089,0,1,0.3406159089
13808,0.192118066,0.9215282544,0.5039835729,0.5999297905,0.4000702095,1,0.400547104,1.4000702095
14287,0.1582915689,0.6966369252,0.0998767967,0.4366092919,0.5633907081,1,0.352292192,1.5633907081
14290,0.1574861761,-0.066666667,0,0.416984094,0.583015906,1,0.0994848981,1.583015906
14314,0.3451426956,0.2550598643,1.2142915811,0.154123948,0.845876052,0.8928542094,0.3013182385,1.7387302615
14322,0.1246819936,1,0.2966735113,0.6711414067,0.3288585933,1,0.3413008647,1.3288585933
14377,0.7986209097,0.6966369252,0.5680492813,0.4070961409,0.5929038591,1,0.7606608673,1.5929038591
14468,0.150237641,1,5.5293634497,0.6547151896,0.3452848104,0,1,0.3452848104
14991,0.1099680017,0,1.419301848,0.3199675482,0.6800324518,0.790349076,0.0591092222,1.4703815278
15220,0.3080946274,0.8666666667,1.6354825462,0.5590360016,0.4409639984,0.6822587269,0.5273834241,1.1232227253
15341,0.1228542863,-0.977777778,1.3457084189,1.1791079421,0,0.8271457906,0.1228542863,0.8271457906
15385,0.1301028214,0.9997712194,0.0673511294,0.6100509615,0.3899490385,1,0.374087562,1.3899490385
15396,2.9795916863,-1,1.6841067762,1.2671185682,0,0.6579466119,2.9795916863,0.6579466119
15711,0.1494322483,0.7456112255,0.3630390144,0.4307904865,0.5692095135,1,0.3656881036,1.5692095135
