x,which_end,average_loss
8,1,1.010235435
8,-1,0.129557508
9,1,0.953458582
9,-1,0.12846583
10,1,0.909182696
10,-1,0.127023519
11,1,0.875264783
11,-1,0.126807792
12,1,0.854228221
12,-1,0.126934962
13,1,0.839407
13,-1,0.127364566
14,1,0.827275227
14,-1,0.127819899
15,1,0.815492702
15,-1,0.128289108
16,1,0.804856189
16,-1,0.128748379
17,1,0.79374565
17,-1,0.129205896
18,1,0.782542559
18,-1,0.129641127
19,1,0.773222245
19,-1,0.130066262
20,1,0.766480657
20,-1,0.130483779
21,1,0.761287831
21,-1,0.130873958
22,1,0.756684352
22,-1,0.131216177
23,1,0.752403145
23,-1,0.131568197
24,1,0.74836878
24,-1,0.131914162
25,1,0.744959221
25,-1,0.132261187
26,1,0.742325153
26,-1,0.132564186
27,1,0.740269475
27,-1,0.132854395
28,1,0.738673287
28,-1,0.133154584
29,1,0.737145286
29,-1,0.133466621
30,1,0.735719234
30,-1,0.13374523
31,1,0.733584714
31,-1,0.134042197
32,1,0.73175342
32,-1,0.134306621
33,1,0.729886259
33,-1,0.13461125
34,1,0.728046163
34,-1,0.134936374
35,1,0.726695514
35,-1,0.135330497
36,1,0.725635277
36,-1,0.135310106
37,1,0.724195629
37,-1,0.135474647
38,1,0.722993236
38,-1,0.135629431
39,1,0.72212333
39,-1,0.136044129
40,1,0.721543846
40,-1,0.136366813
41,1,0.721160804
41,-1,0.136817632
42,1,0.720714288
42,-1,0.137023405
43,1,0.72058614
43,-1,0.135609211
44,1,0.720584442
44,-1,0.134969776
45,1,0.720678944
45,-1,0.134459012
